"Outcome","Group","n","mean_gain","t","df","p_raw","p_holm"
"Total","0",14,4.714,3.115,13,0.008206,0.008206
"Total","1",13,4.154,4.131,12,0.001392,0.002784
"Total","4",29,9.138,11.403,28,4.917e-12,1.967e-11
"Total","8",26,9.577,11.716,25,1.199e-11,3.597e-11
"Survey Item 1","0",14,0.786,2.349,13,0.03527,0.07054
"Survey Item 1","1",13,0.308,2.309,12,0.03952,0.07054
"Survey Item 1","4",29,0.483,2.985,28,0.005832,0.0175
"Survey Item 1","8",26,1.115,6.968,25,2.645e-07,1.058e-06
"Survey Item 2","0",14,1.071,4.02,13,0.001456,0.001456
"Survey Item 2","1",13,1.231,6.121,12,5.171e-05,0.0001034
"Survey Item 2","4",29,1.172,7.101,28,1.003e-07,3.009e-07
"Survey Item 2","8",26,1.423,10.326,25,1.673e-10,6.692e-10
"Survey Item 3","0",14,0.857,2.604,13,0.02183,0.02183
"Survey Item 3","1",13,0.692,3.323,12,0.006071,0.01214
"Survey Item 3","4",29,0.621,3.702,28,0.0009289,0.002787
"Survey Item 3","8",26,1.077,6.897,25,3.139e-07,1.256e-06
"Survey Item 4","0",14,0.357,1.439,13,0.1739,0.1751
"Survey Item 4","1",13,0.615,1.86,12,0.08757,0.1751
"Survey Item 4","4",29,1.034,4.985,28,2.888e-05,8.664e-05
"Survey Item 4","8",26,1.423,8.043,25,2.128e-08,8.512e-08
"Survey Item 5","0",14,0.143,0.806,13,0.4346,1
"Survey Item 5","1",13,-0.231,-0.585,12,0.5696,1
"Survey Item 5","4",29,0.172,0.841,28,0.4075,1
"Survey Item 5","8",26,0.577,3.883,25,0.0006681,0.002672
"Survey Item 6","0",14,0.429,1.104,13,0.2896,0.2896
"Survey Item 6","1",13,1.231,4.382,12,0.0008935,0.001787
"Survey Item 6","4",29,1.034,4.722,28,5.924e-05,0.0001777
"Survey Item 6","8",26,1.577,6.669,25,5.477e-07,2.191e-06
"Survey Item 7","0",14,0.714,2.219,13,0.0449,0.0898
"Survey Item 7","1",13,0.308,1.298,12,0.2188,0.2188
"Survey Item 7","4",29,0.69,4.882,28,3.834e-05,0.000115
"Survey Item 7","8",26,0.962,5.952,25,3.253e-06,1.301e-05
